x,psi_deg0,psi_deg1,psi_deg2,psi_deg3,psi_deg4,psi_deg5,psi_deg6,psi_infty
-1,-0.438832588830528,-0.447997767323331,-0.447144608843643,-0.447127561538728,-0.44711735341963,-0.447244375855588,-0.447154352129717,-0.447213595499958
-0.981651376146789,-0.438832588830528,-0.445911823579512,-0.445508472132989,-0.445482797896651,-0.445488564805788,-0.445492951400734,-0.445491502971592,-0.445535635534733
-0.963302752293578,-0.438832588830528,-0.443825879835693,-0.443774531967132,-0.443753708358826,-0.443762269385928,-0.443720366887599,-0.4437513936166,-0.443781274442622
-0.944954128440367,-0.438832588830528,-0.441739936091873,-0.441942788346075,-0.441936006331837,-0.441939964694981,-0.441897004647665,-0.441927250085431,-0.441946131844928
-0.926605504587156,-0.438832588830528,-0.439653992348054,-0.440013241269815,-0.440025405222268,-0.440022001048125,-0.439999994617545,-0.440013577984566,-0.440025536974518
-0.908256880733945,-0.438832588830528,-0.437568048604235,-0.437985890738354,-0.438017618436701,-0.43800758154079,-0.438012225045198,-0.438005637495176,-0.438014508213931
-0.889908256880734,-0.438832588830528,-0.435482104860416,-0.435860736751691,-0.435908359381721,-0.43589476204865,-0.435921353196142,-0.435898992718055,-0.435907731309136
-0.871559633027523,-0.438832588830528,-0.433396161116597,-0.433637779309826,-0.433693341463911,-0.433680451227631,-0.433718816059672,-0.433689135374579,-0.433699536220706
-0.853211009174312,-0.438832588830528,-0.431310217372778,-0.43131701841276,-0.431368278089855,-0.431360410513904,-0.431398841055071,-0.431371182863695,-0.431383872586697
-0.834862385321101,-0.438832588830528,-0.429224273628958,-0.428898454060492,-0.428928882666136,-0.428929254123892,-0.428957456737829,-0.428939650674941,-0.428954283788225
-0.81651376146789,-0.438832588830528,-0.427138329885139,-0.426382086253022,-0.426370868599338,-0.426380449054264,-0.426391503505854,-0.426388299157498,-0.42640387963082
-0.798165137614679,-0.40762528497079,-0.424906691545436,-0.423767479908256,-0.423689948037376,-0.423706315084891,-0.423697644305789,-0.42371005464527,-0.423725307683155
-0.779816513761468,-0.40762528497079,-0.421363801842778,-0.421003295339014,-0.42088016287408,-0.420898068002601,-0.420871391253869,-0.420897004708302,-0.420910723351106
-0.761467889908257,-0.40762528497079,-0.417820912140119,-0.418054290895624,-0.417930592070462,-0.417946177788965,-0.417906440360294,-0.417940458018443,-0.417951758810938
-0.743119266055046,-0.40762528497079,-0.414278022437461,-0.414920466578085,-0.414829397017658,-0.414840656609349,-0.414794652568268,-0.414831026776749,-0.414839490982583
-0.724770642201835,-0.40762528497079,-0.410735132734803,-0.411601822386398,-0.411564739106801,-0.411571078189178,-0.411526244470843,-0.411558695832224,-0.411564408794676
-0.706422018348624,-0.40762528497079,-0.407192243032144,-0.408098358320562,-0.408124779729027,-0.408126577813941,-0.408089984863019,-0.408112872874507,-0.408116380079628
-0.688073394495413,-0.40762528497079,-0.403649353329486,-0.404410074380577,-0.404497680275471,-0.404495852329188,-0.40447339129384,-0.404482419631621,-0.404484618542395
-0.669724770642202,-0.40762528497079,-0.400106463626828,-0.400536970566444,-0.400671602137268,-0.400667160140533,-0.400662926618499,-0.400655664072774,-0.40065765137364
-0.651376146788991,-0.40762528497079,-0.396563573924169,-0.396479046878161,-0.396634706705552,-0.39662832121365,-0.396644195550427,-0.396620393616206,-0.396623288230056
-0.63302752293578,-0.40762528497079,-0.393020684221511,-0.392236303315731,-0.392375155371459,-0.392366717074275,-0.392402141213398,-0.392363829342106,-0.392368592484967
-0.614678899082569,-0.40762528497079,-0.389477794518853,-0.387808739879151,-0.387881109526123,-0.387869290808206,-0.387921241693624,-0.387872581210564,-0.387879855864391
